󱚣	Claude	https://claude.ai	Agentes	Anthropic · Razonamiento, análisis profundo, código y artefactos
󰚩	ChatGPT	https://chatgpt.com	Agentes	OpenAI · GPT-4o, o1, o3, canvas, voz y visión
󰊭	Google Gemini	https://gemini.google.com	Agentes	Google · Gemini 2.5/Flash, ventana de contexto masiva
󰘑	DeepSeek Chat	https://chat.deepseek.com	Agentes	DeepSeek · V3 y R1 con razonamiento abierto y código
󱙺	Qwen Chat	https://chat.qwen.ai	Agentes	Alibaba Cloud · Modelos Tongyi Qianwen y Qwen 2.5
󰍉	Perplexity	https://www.perplexity.ai	Agentes	Motor de respuestas y búsqueda con fuentes citadas
󰫢	Grok	https://grok.com	Agentes	xAI · Grok 2 y 3 con acceso a tiempo real y visión
󰘐	Mistral Le Chat	https://chat.mistral.ai	Agentes	Mistral AI · Modelos europeos abiertos y búsqueda web
󰚩	Poe	https://poe.com	Agentes	Quora · Agregador multimodelo y bots personalizados
󰘑	Microsoft Copilot	https://copilot.microsoft.com	Agentes	Microsoft · Asistente IA web integrado con Bing
󰅩	Phind	https://www.phind.com	Agentes	Buscador técnico y agente para programadores
󰘑	Kimi	https://kimi.moonshot.cn	Agentes	Moonshot AI · Análisis de documentos y contexto ultra largo
󰚩	Doubao	https://www.doubao.com	Agentes	ByteDance · Asistente conversacional de alta adopción
󰚩	OpenRouter	https://openrouter.ai	Routers/APIs	Router universal multimodelo, balanceo y métricas
󱐋	Groq Console	https://console.groq.com	Routers/APIs	Inferencia LPU ultra veloz para Llama, Gemma y Mistral
󰢹	Together AI	https://api.together.ai	Routers/APIs	Inferencia en la nube, fine-tuning y endpoints abiertos
󰛄	Fireworks AI	https://fireworks.ai	Routers/APIs	Inferencia acelerada para modelos de lenguaje y visión
󰓅	Cerebras Cloud	https://cloud.cerebras.ai	Routers/APIs	Inferencia wafer-scale a cientos de tokens por segundo
󱁤	DeepInfra	https://deepinfra.com	Routers/APIs	Inferencia serverless de modelos open-source por token
󰘐	Mistral Platform	https://console.mistral.ai	Routers/APIs	Consola de API de Mistral, fine-tuning y endpoints
󰚩	OpenAI Platform	https://platform.openai.com	Routers/APIs	Consola de API de OpenAI, playground y assistants
